No,Background Name,Category,Keywords,CSS Code,Tailwind,Best For,Performance,Accessibility
1,Gradient Mesh,Gradient,"mesh, gradient, organic, fluid, abstract, modern",".gradient-mesh { background: radial-gradient(at 40% 20%, hsla(28,100%,74%,1) 0px, transparent 50%), radial-gradient(at 80% 0%, hsla(189,100%,56%,1) 0px, transparent 50%), radial-gradient(at 0% 50%, hsla(355,100%,93%,1) 0px, transparent 50%), radial-gradient(at 80% 50%, hsla(340,100%,76%,1) 0px, transparent 50%), radial-gradient(at 0% 100%, hsla(22,100%,77%,1) 0px, transparent 50%), radial-gradient(at 80% 100%, hsla(242,100%,70%,1) 0px, transparent 50%); background-color: hsla(0,0%,100%,1); }","bg-[radial-gradient(at_40%_20%,hsla(28,100%,74%,1)_0px,transparent_50%),radial-gradient(at_80%_0%,hsla(189,100%,56%,1)_0px,transparent_50%),radial-gradient(at_0%_50%,hsla(355,100%,93%,1)_0px,transparent_50%)]","Hero sections, creative agencies, premium brands",Good - CSS only,Yes
2,Aurora Gradient,Gradient,"aurora, northern lights, flowing, ethereal, dreamy",".aurora { background: linear-gradient(135deg, #667eea 0%, #764ba2 100%); background-size: 400% 400%; animation: aurora 15s ease infinite; } @keyframes aurora { 0% { background-position: 0% 50%; } 50% { background-position: 100% 50%; } 100% { background-position: 0% 50%; } }","bg-gradient-to-br from-indigo-500 to-purple-600 bg-[length:400%_400%] animate-[aurora_15s_ease_infinite]","Hero sections, creative, premium, SaaS",Good - CSS animation,Yes
3,Neon Glow Gradient,Gradient,"neon, glow, cyberpunk, futuristic, vibrant",".neon-gradient { background: linear-gradient(135deg, #0f0c29, #302b63, #24243e); position: relative; } .neon-gradient::before { content: ''; position: absolute; inset: 0; background: radial-gradient(circle at 50% 50%, rgba(0,255,136,0.3), transparent 60%), radial-gradient(circle at 80% 20%, rgba(0,128,255,0.3), transparent 60%); animation: neonPulse 4s ease-in-out infinite; } @keyframes neonPulse { 0%, 100% { opacity: 0.5; } 50% { opacity: 1; } }","bg-gradient-to-br from-[#0f0c29] via-[#302b63] to-[#24243e]","Gaming, cyberpunk, crypto, tech",Medium - requires pseudo-element,Yes - with proper contrast
4,Sunset Gradient,Gradient,"sunset, warm, orange, pink, golden hour",".sunset { background: linear-gradient(135deg, #fa709a 0%, #fee140 100%); }","bg-gradient-to-br from-pink-400 to-yellow-300","Landing pages, creative, food, travel",Excellent - simple,Yes - check contrast
5,Ocean Gradient,Gradient,"ocean, water, blue, teal, calm, soothing",".ocean { background: linear-gradient(135deg, #667eea 0%, #764ba2 100%); }","bg-gradient-to-br from-blue-500 to-purple-600","SaaS, healthcare, wellness, tech",Excellent - simple,Yes
6,Forest Gradient,Gradient,"forest, nature, green, earth, organic",".forest { background: linear-gradient(135deg, #11998e 0%, #38ef7d 100%); }","bg-gradient-to-br from-teal-500 to-green-400","Eco, nature, wellness, sustainable",Excellent - simple,Yes
7,Cosmic Gradient,Gradient,"cosmic, space, galaxy, stars, deep",".cosmic { background: linear-gradient(135deg, #0c0c1d 0%, #1a1a2e 25%, #16213e 50%, #0f3460 75%, #533483 100%); }","bg-gradient-to-br from-[#0c0c1d] via-[#1a1a2e] to-[#533483]","Gaming, crypto, sci-fi, premium",Good - multi-stop,Yes
8,Fire Gradient,Gradient,"fire, warm, orange, red, energetic",".fire { background: linear-gradient(135deg, #f12711 0%, #f5af19 100%); }","bg-gradient-to-br from-orange-600 to-yellow-400","Food, restaurants, energetic brands",Excellent - simple,Yes
9,Ice Gradient,Gradient,"ice, cold, blue, crystal, frosty",".ice { background: linear-gradient(135deg, #e0eafc 0%, #cfdef3 100%); }","bg-gradient-to-br from-blue-100 to-blue-200","Healthcare, tech, clean, minimal",Excellent - simple,Yes
10,Lavender Gradient,Gradient,"lavender, purple, soft, calm, elegant",".lavender { background: linear-gradient(135deg, #a8edea 0%, #fed6e3 100%); }","bg-gradient-to-br from-teal-200 to-pink-200","Wellness, beauty, luxury, creative",Excellent - simple,Yes
11,Dark Gradient,Gradient,"dark, moody, professional, sleek",".dark-gradient { background: linear-gradient(135deg, #0f172a 0%, #1e293b 50%, #334155 100%); }","bg-gradient-to-br from-slate-900 via-slate-800 to-slate-700","Dashboards, dark mode, tech, gaming",Excellent - simple,Yes
12,Rainbow Gradient,Gradient,"rainbow, colorful, vibrant, playful",".rainbow { background: linear-gradient(135deg, #f093fb 0%, #f5576c 50%, #fda085 100%); }","bg-gradient-to-br from-pink-300 via-red-400 to-orange-300","Creative, playful, children's, education",Good - moderate,Yes - check contrast
13,Mesh Gradient 2,Gradient,"mesh, abstract, modern, artistic",".mesh-2 { background: conic-gradient(from 45deg at 50% 50%, #ff6b6b, #feca57, #48dbfb, #ff9ff3, #54a0ff, #5f27cd, #ff6b6b); }","bg-[conic-gradient(from_45deg_at_50%_50%,#ff6b6b,#feca57,#48dbfb,#ff9ff3,#54a0ff,#5f27cd,#ff6b6b)]","Creative, artistic, premium, branding",Good - CSS only,Yes
14,Noise Texture,Pattern,"noise, texture, grain, subtle, vintage",".noise { background-image: url('data:image/svg+xml,%3Csvg viewBox=\"0 0 256 256\" xmlns=\"http://www.w3.org/2000/svg\"%3E%3Cfilter id=\"n\" x=\"0\" y=\"0\"%3E%3CfeTurbulence type=\"fractalNoise\" baseFrequency=\"0.65\" numOctaves=\"3\" stitchTiles=\"stitch\"/%3E%3C/filter%3E%3Crect width=\"100%25\" height=\"100%25\" filter=\"url(%23n)\" opacity=\"0.05\"/%3E%3C/svg%3E'); }","bg-[url('data:image/svg+xml,...')]","Premium, luxury, editorial, vintage",Excellent - static,Yes
15,Dot Pattern,Pattern,"dots, pattern, grid, geometric, subtle",".dot-pattern { background-image: radial-gradient(circle, #d1d5db 1px, transparent 1px); background-size: 20px 20px; }","bg-[radial-gradient(circle,#d1d5db_1px,transparent_1px)] bg-[size:20px_20px]","Dashboards, data, clean, minimal",Excellent - static,Yes
16,Line Pattern,Pattern,"lines, pattern, diagonal, geometric",".line-pattern { background-image: repeating-linear-gradient(45deg, transparent, transparent 10px, rgba(0,0,0,0.05) 10px, rgba(0,0,0,0.05) 11px); }","bg-[repeating-linear-gradient(45deg,transparent,transparent_10px,rgba(0,0,0,0.05)_10px,rgba(0,0,0,0.05)_11px)]","Professional, corporate, subtle texture",Excellent - static,Yes
17,Grid Pattern,Pattern,"grid, pattern, geometric, technical",".grid-pattern { background-image: linear-gradient(rgba(0,0,0,0.05) 1px, transparent 1px), linear-gradient(90deg, rgba(0,0,0,0.05) 1px, transparent 1px); background-size: 50px 50px; }","bg-[linear-gradient(rgba(0,0,0,0.05)_1px,transparent_1px),linear-gradient(90deg,rgba(0,0,0,0.05)_1px,transparent_1px)] bg-[size:50px_50px]","Technical, dashboards, data, engineering",Excellent - static,Yes
18,Checkered Pattern,Pattern,"checkered, chess, pattern, classic",".checkered { background-image: linear-gradient(45deg, #f0f0f0 25%, transparent 25%), linear-gradient(-45deg, #f0f0f0 25%, transparent 25%), linear-gradient(45deg, transparent 75%, #f0f0f0 75%), linear-gradient(-45deg, transparent 75%, #f0f0f0 75%); background-size: 20px 20px; background-position: 0 0, 0 10px, 10px -10px, -10px 0px; }","bg-[linear-gradient(45deg,#f0f0f0_25%,transparent_25%),linear-gradient(-45deg,#f0f0f0_25%,transparent_25%),linear-gradient(45deg,transparent_75%,#f0f0f0_75%),linear-gradient(-45deg,transparent_75%,#f0f0f0_75%)] bg-[size:20px_20px]","Creative, playful, retro",Good - moderate,Yes
19,Wave Pattern,Pattern,"wave, pattern, organic, flowing",".wave-pattern { background: url('data:image/svg+xml;utf8,<svg xmlns=\"http://www.w3.org/2000/svg\" viewBox=\"0 0 1440 320\"><path fill=\"%23fff\" d=\"M0,192L48,197.3C96,203,192,213,288,229.3C384,245,480,267,576,250.7C672,235,768,181,864,181.3C960,181,1056,235,1152,234.7C1248,235,1344,181,1392,154.7L1440,128L1440,320L1392,320C1344,320,1248,320,1152,320C1056,320,960,320,864,320C768,320,672,320,576,320C480,320,384,320,288,320C192,320,96,320,48,320L0,320Z\"></path></svg>') repeat-x bottom; }","bg-[url('data:image/svg+xml,...')] bg-bottom bg-repeat-x","Section dividers, organic, creative",Good - static SVG,Yes
20,Hexagon Pattern,Pattern,"hexagon, pattern, geometric, honeycomb",".hex-pattern { background-color: #f8fafc; background-image: url(\"data:image/svg+xml,%3Csvg width='60' height='60' viewBox='0 0 60 60' xmlns='http://www.w3.org/2000/svg'%3E%3Cg fill='none' fill-rule='evenodd'%3E%3Cg fill='%23e2e8f0' fill-opacity='0.4'%3E%3Cpath d='M36 34v-4h-2v4h-4v2h4v4h2v-4h4v-2h-4zm0-30V0h-2v4h-4v2h4v4h2V6h4V4h-4zM6 34v-4H4v4H0v2h4v4h2v-4h4v-2H6zM6 4V0H4v4H0v2h4v4h2V6h4V4H6z'/%3E%3C/g%3E%3C/g%3E%3C/svg%3E\"); }","bg-[url('data:image/svg+xml,...')]","Tech, engineering, scientific",Excellent - static,Yes
21,Triangle Pattern,Pattern,"triangle, pattern, geometric, abstract",".triangle-pattern { background-image: linear-gradient(60deg, rgba(0,0,0,0.05) 25%, transparent 25.5%, transparent 75%, rgba(0,0,0,0.05) 75.5%), linear-gradient(120deg, rgba(0,0,0,0.05) 25%, transparent 25.5%, transparent 75%, rgba(0,0,0,0.05) 75.5%); background-size: 20px 35px; }","bg-[linear-gradient(60deg,rgba(0,0,0,0.05)_25%,transparent_25.5%,transparent_75%,rgba(0,0,0,0.05)_75.5%),linear-gradient(120deg,rgba(0,0,0,0.05)_25%,transparent_25.5%,transparent_75%,rgba(0,0,0,0.05)_75.5%)] bg-[size:20px_35px]","Creative, artistic, abstract",Good - moderate,Yes
22,Circle Pattern,Pattern,"circles, pattern, dots, organic",".circle-pattern { background-image: radial-gradient(circle at 100% 50%, transparent 20%, rgba(0,0,0,0.03) 20%, rgba(0,0,0,0.03) 40%, transparent 40%, transparent 60%, rgba(0,0,0,0.03) 60%, rgba(0,0,0,0.03) 80%, transparent 80%); background-size: 80px 40px; }","bg-[radial-gradient(circle_at_100%_50%,transparent_20%,rgba(0,0,0,0.03)_20%,rgba(0,0,0,0.03)_40%,transparent_40%,transparent_60%,rgba(0,0,0,0.03)_60%,rgba(0,0,0,0.03)_80%,transparent_80%)] bg-[size:80px_40px]","Creative, playful, organic",Good - moderate,Yes
23,Diamond Pattern,Pattern,"diamond, pattern, geometric, luxury",".diamond-pattern { background-image: linear-gradient(45deg, rgba(0,0,0,0.05) 25%, transparent 25%, transparent 75%, rgba(0,0,0,0.05) 75%, rgba(0,0,0,0.05)), linear-gradient(45deg, rgba(0,0,0,0.05) 25%, transparent 25%, transparent 75%, rgba(0,0,0,0.05) 75%, rgba(0,0,0,0.05)); background-size: 20px 20px; background-position: 0 0, 10px 10px; }","bg-[linear-gradient(45deg,rgba(0,0,0,0.05)_25%,transparent_25%,transparent_75%,rgba(0,0,0,0.05)_75%,rgba(0,0,0,0.05)),linear-gradient(45deg,rgba(0,0,0,0.05)_25%,transparent_25%,transparent_75%,rgba(0,0,0,0.05)_75%,rgba(0,0,0,0.05))] bg-[size:20px_20px] bg-[position:0_0,10px_10px]","Luxury, elegant, premium",Good - moderate,Yes
24,Zigzag Pattern,Pattern,"zigzag, pattern, chevron, dynamic",".zigzag { background: linear-gradient(135deg, #f5f5f5 25%, transparent 25%) -50px 0, linear-gradient(225deg, #f5f5f5 25%, transparent 25%) -50px 0, linear-gradient(315deg, #f5f5f5 25%, transparent 25%), linear-gradient(45deg, #f5f5f5 25%, transparent 25%); background-size: 100px 100px; background-color: #fff; }","bg-[linear-gradient(135deg,#f5f5f5_25%,transparent_25%)_-50px_0,linear-gradient(225deg,#f5f5f5_25%,transparent_25%)_-50px_0,linear-gradient(315deg,#f5f5f5_25%,transparent_25%),linear-gradient(45deg,#f5f5f5_25%,transparent_25%)] bg-[size:100px_100px]","Creative, dynamic, playful",Good - moderate,Yes
25,Star Pattern,Pattern,"stars, pattern, night sky, cosmic",".star-pattern { background-image: radial-gradient(2px 2px at 20px 30px, #eee, rgba(0,0,0,0)), radial-gradient(2px 2px at 40px 70px, #fff, rgba(0,0,0,0)), radial-gradient(2px 2px at 50px 160px, #ddd, rgba(0,0,0,0)), radial-gradient(2px 2px at 90px 40px, #fff, rgba(0,0,0,0)), radial-gradient(2px 2px at 130px 80px, #fff, rgba(0,0,0,0)), radial-gradient(2px 2px at 160px 120px, #ddd, rgba(0,0,0,0)); background-repeat: repeat; background-size: 200px 200px; }","bg-[radial-gradient(2px_2px_at_20px_30px,#eee,rgba(0,0,0,0)),radial-gradient(2px_2px_at_40px_70px,#fff,rgba(0,0,0,0)),radial-gradient(2px_2px_at_50px_160px,#ddd,rgba(0,0,0,0))] bg-[size:200px_200px]","Cosmic, gaming, sci-fi, creative",Good - moderate,Yes
26,Moving Gradient,Animated,"animated, gradient, flowing, dynamic, modern",".moving-gradient { background: linear-gradient(-45deg, #ee7752, #e73c7e, #23a6d5, #23d5ab); background-size: 400% 400%; animation: gradient 15s ease infinite; } @keyframes gradient { 0% { background-position: 0% 50%; } 50% { background-position: 100% 50%; } } 100% { background-position: 0% 50%; } }","bg-gradient-to-r from-orange-400 via-pink-500 to-cyan-400 bg-[length:400%_400%] animate-[gradient_15s_ease_infinite]","Hero sections, creative, premium",Medium - animation,Yes
27,Rotating Gradient,Animated,"rotating, gradient, spiral, dynamic",".rotating-gradient { background: conic-gradient(from 0deg, #ff6b6b, #feca57, #48dbfb, #ff9ff3, #54a0ff, #5f27cd, #ff6b6b); animation: rotate 10s linear infinite; } @keyframes rotate { 100% { transform: rotate(360deg); } }","bg-[conic-gradient(from_0deg,#ff6b6b,#feca57,#48dbfb,#ff9ff3,#54a0ff,#5f27cd,#ff6b6b)] animate-[rotate_10s_linear_infinite]","Creative, artistic, premium, branding",Medium - animation,Yes
28,Pulse Gradient,Animated,"pulse, gradient, breathing, dynamic",".pulse-gradient { background: radial-gradient(circle, #667eea 0%, #764ba2 100%); animation: pulse-bg 4s ease-in-out infinite; } @keyframes pulse-bg { 0%, 100% { transform: scale(1); } 50% { transform: scale(1.05); } }","bg-gradient-to-br from-indigo-500 to-purple-600 animate-[pulse-bg_4s_ease-in-out_infinite]","Hero sections, creative, dynamic",Medium - animation,Yes
29,Blob Gradient,Animated,"blob, organic, morphing, fluid, modern",".blob { background: linear-gradient(135deg, #667eea 0%, #764ba2 100%); position: relative; overflow: hidden; } .blob::before { content: ''; position: absolute; width: 200%; height: 200%; top: -50%; left: -50%; background: radial-gradient(circle, rgba(255,255,255,0.3) 0%, transparent 60%); animation: blob 8s ease-in-out infinite; } @keyframes blob { 0%, 100% { border-radius: 60% 40% 30% 70% / 60% 30% 70% 40%; } 50% { border-radius: 30% 60% 70% 40% / 50% 60% 30% 60%; } }","bg-gradient-to-br from-indigo-500 to-purple-600","Creative, organic, modern, premium",Medium - animation,Yes
30,CRT Scanlines,Effect,"crt, scanlines, retro, vintage, screen",".crt::before { content: ''; position: absolute; inset: 0; background: repeating-linear-gradient(0deg, rgba(0,0,0,0.15), rgba(0,0,0,0.15) 1px, transparent 1px, transparent 2px); pointer-events: none; }","[&::before]:content-[''] [&::before]:absolute [&::before]:inset-0 [&::before]:bg-[repeating-linear-gradient(0deg,rgba(0,0,0,0.15),rgba(0,0,0,0.15)_1px,transparent_1px,transparent_2px)] [&::before]:pointer-events-none","Retro, gaming, cyberpunk, nostalgic",Excellent - static,Yes
31,Glitch Overlay,Effect,"glitch, distortion, cyberpunk, tech",".glitch-overlay { position: relative; } .glitch-overlay::before, .glitch-overlay::after { content: ''; position: absolute; inset: 0; background: inherit; } .glitch-overlay::before { animation: glitch-1 2s infinite linear alternate-reverse; clip-path: polygon(0 0, 100% 0, 100% 45%, 0 45%); } .glitch-overlay::after { animation: glitch-2 2s infinite linear alternate-reverse; clip-path: polygon(0 60%, 100% 60%, 100% 100%, 0 100% ); } @keyframes glitch-1 { 0% { transform: translate(0); } 20% { transform: translate(-3px, 3px); } 40% { transform: translate(-3px, -3px); } 60% { transform: translate(3px, 3px); } 80% { transform: translate(3px, -3px); } 100% { transform: translate(0); } } @keyframes glitch-2 { 0% { transform: translate(0); } 20% { transform: translate(3px, -3px); } 40% { transform: translate(3px, 3px); } 60% { transform: translate(-3px, -3px); } 80% { transform: translate(-3px, 3px); } 100% { transform: translate(0); } }","[&::before]:content-[''] [&::before]:absolute [&::before]:inset-0 [&::before]:animate-[glitch-1_2s_infinite_linear_alternate-reverse]","Cyberpunk, gaming, tech, error states",Medium - animation,Yes
32,Neon Border Glow,Effect,"neon, glow, border, cyberpunk, futuristic",".neon-border { border: 2px solid #0fa; box-shadow: 0 0 5px #0fa, 0 0 10px #0fa, 0 0 20px #0fa, 0 0 40px #0fa; }","border-2 border-green-400 shadow-[0_0_5px_#0fa,0_0_10px_#0fa,0_0_20px_#0fa,0_0_40px_#0fa]","Cyberpunk, gaming, tech, CTAs",Medium - box-shadow,Yes - check contrast
33,Gradient Text,Effect,"gradient, text, typography, creative",".gradient-text { background: linear-gradient(135deg, #667eea 0%, #764ba2 100%); -webkit-background-clip: text; -webkit-text-fill-color: transparent; background-clip: text; }","bg-gradient-to-r from-indigo-500 to-purple-600 bg-clip-text text-transparent","Headlines, hero sections, creative",Excellent - CSS only,Yes
34,Animated Border,Effect,"animated, border, gradient, dynamic",".animated-border { border: 2px solid transparent; background: linear-gradient(#fff, #fff) padding-box, linear-gradient(135deg, #667eea, #764ba2, #667eea) border-box; background-size: 200% 200%; animation: border-gradient 3s ease infinite; } @keyframes border-gradient { 0% { background-position: 0% 50%; } 50% { background-position: 100% 50%; } } 100% { background-position: 0% 50%; } }","border-2 border-transparent bg-[linear-gradient(#fff,#fff)_padding-box,linear-gradient(135deg,#667eea,#764ba2,#667eea)_border-box] bg-[length:200%_200%] animate-[border-gradient_3s_ease_infinite]","Cards, buttons, premium elements",Medium - animation,Yes
35,Glass Effect,Effect,"glass, glassmorphism, blur, translucent",".glass { background: rgba(255, 255, 255, 0.1); backdrop-filter: blur(10px); -webkit-backdrop-filter: blur(10px); border: 1px solid rgba(255, 255, 255, 0.2); }","bg-white/10 backdrop-blur-md border border-white/20","Overlays, cards, navigation, premium",Good - backdrop-filter,Yes - ensure contrast
36,Dark Glass Effect,Effect,"dark, glass, glassmorphism, blur, translucent",".dark-glass { background: rgba(0, 0, 0, 0.3); backdrop-filter: blur(10px); -webkit-backdrop-filter: blur(10px); border: 1px solid rgba(255, 255, 255, 0.1); }","bg-black/30 backdrop-blur-md border border-white/10","Overlays, modals, dark mode, premium",Good - backdrop-filter,Yes - ensure contrast
37,Chromatic Aberration,Effect,"chromatic, aberration, glitch, distortion",".chromatic { position: relative; } .chromatic::before, .chromatic::after { content: attr(data-text); position: absolute; top: 0; left: 0; width: 100%; height: 100%; } .chromatic::before { color: #ff0000; z-index: -1; animation: chromatic-1 2s infinite; } .chromatic::after { color: #0000ff; z-index: -2; animation: chromatic-2 2s infinite; } @keyframes chromatic-1 { 0%, 100% { transform: translate(0); } 50% { transform: translate(-2px, 1px); } } @keyframes chromatic-2 { 0%, 100% { transform: translate(0); } 50% { transform: translate(2px, -1px); } }","[&::before]:content-[attr(data-text)] [&::before]:absolute [&::before]:top-0 [&::before]:left-0 [&::before]:text-red-500 [&::before]:animate-[chromatic-1_2s_infinite]","Cyberpunk, gaming, tech, creative",Medium - animation,Yes
38,Parallax Background,Effect,"parallax, depth, scroll, layers",".parallax-bg { background-attachment: fixed; background-position: center; background-repeat: no-repeat; background-size: cover; }","bg-fixed bg-center bg-no-repeat bg-cover","Hero sections, landing pages, storytelling",Good - CSS only,Yes - check contrast
39,Video Background,Media,"video, background, cinematic, immersive",".video-bg { position: relative; } .video-bg video { position: absolute; top: 0; left: 0; width: 100%; height: 100%; object-fit: cover; } .video-bg .overlay { position: relative; z-index: 1; }","relative [&>video]:absolute [&>video]:top-0 [&>video]:left-0 [&>video]:w-full [&>video]:h-full [&>video]:object-cover","Hero sections, premium, immersive",Poor - video file,Yes - ensure contrast
40,Animated Background Particles,Effect,"particles, animated, dynamic, modern",".particles { position: relative; overflow: hidden; } .particle { position: absolute; width: 4px; height: 4px; background: rgba(255,255,255,0.5); border-radius: 50%; animation: float 6s ease-in-out infinite; } @keyframes float { 0%, 100% { transform: translateY(0) translateX(0); } 25% { transform: translateY(-20px) translateX(10px); } 50% { transform: translateY(-40px) translateX(-10px); } 75% { transform: translateY(-20px) translateX(5px); } }","relative overflow-hidden [&_.particle]:absolute [&_.particle]:w-1 [&_.particle]:h-1 [&_.particle]:bg-white/50 [&_.particle]:rounded-full [&_.particle]:animate-[float_6s_ease-in-out_infinite]","Hero sections, creative, premium, SaaS",Medium - JS particles,Yes
41,Snow Effect,Effect,"snow, winter, holiday, seasonal, decorative",".snow { position: relative; overflow: hidden; } .snowflake { position: absolute; top: -10px; color: white; font-size: 1em; animation: fall linear infinite; } @keyframes fall { to { transform: translateY(100vh) rotate(360deg); } }","relative overflow-hidden [&_.snowflake]:absolute [&_.snowflake]:top-[-10px] [&_.snowflake]:text-white [&_.snowflake]:animate-[fall_linear_infinite]","Seasonal, holiday, winter themes",Medium - animation,Yes
42,Rain Effect,Effect,"rain, water, weather, atmospheric",".rain { position: relative; overflow: hidden; } .raindrop { position: absolute; width: 2px; height: 20px; background: linear-gradient(transparent, rgba(174,194,224,0.5)); animation: rain-fall linear infinite; } @keyframes rain-fall { to { transform: translateY(100vh); } }","relative overflow-hidden [&_.raindrop]:absolute [&_.raindrop]:w-0.5 [&_.raindrop]:h-5 [&_.raindrop]:bg-gradient-to-b [&_.raindrop]:from-transparent [&_.raindrop]:to-blue-300/50 [&_.raindrop]:animate-[rain-fall_linear_infinite]","Atmospheric, moody, creative",Medium - animation,Yes
43,Liquid Background,Effect,"liquid, fluid, morphing, organic, premium",".liquid-bg { position: relative; } .liquid-blob { position: absolute; border-radius: 50%; filter: blur(60px); animation: liquid-morph 8s ease-in-out infinite; } @keyframes liquid-morph { 0%, 100% { border-radius: 60% 40% 30% 70% / 60% 30% 70% 40%; } 50% { border-radius: 30% 60% 70% 40% / 50% 60% 30% 60%; } }","relative [&_.liquid-blob]:absolute [&_.liquid-blob]:rounded-full [&_.liquid-blob]:blur-3xl [&_.liquid-blob]:animate-[liquid-morph_8s_ease-in-out_infinite]","Premium, creative, modern, SaaS",Medium - animation,Yes
44,Gradient Border Animation,Effect,"gradient, border, animated, dynamic",".gradient-border { position: relative; background: white; border-radius: 12px; } .gradient-border::before { content: ''; position: absolute; inset: -2px; background: linear-gradient(135deg, #667eea, #764ba2, #f093fb, #667eea); border-radius: inherit; z-index: -1; animation: gradient-border 3s ease infinite; } @keyframes gradient-border { 0% { background-position: 0% 50%; } 50% { background-position: 100% 50%; } } 100% { background-position: 0% 50%; } }","relative bg-white rounded-xl [&::before]:content-[''] [&::before]:absolute [&::before]:inset-[-2px] [&::before]:bg-gradient-to-r [&::before]:from-indigo-500 [&::before]:via-purple-500 [&::before]:to-pink-500 [&::before]:rounded-xl [&::before]:z-[-1] [&::before]:animate-[gradient-border_3s_ease_infinite]","Cards, buttons, premium elements",Medium - animation,Yes
45,Aurora Background,Effect,"aurora, northern lights, ethereal, dreamy",".aurora-bg { position: relative; overflow: hidden; } .aurora-bg::before { content: ''; position: absolute; top: -50%; left: -50%; width: 200%; height: 200%; background: conic-gradient(from 0deg at 50% 50%, #00ff87, #60efff, #0061ff, #ff00d4, #00ff87); animation: aurora-spin 20s linear infinite; filter: blur(100px); opacity: 0.5; } @keyframes aurora-spin { 100% { transform: rotate(360deg); } }","relative overflow-hidden [&::before]:content-[''] [&::before]:absolute [&::before]:top-[-50%] [&::before]:left-[-50%] [&::before]:w-[200%] [&::before]:h-[200%] [&::before]:bg-[conic-gradient(from_0deg_at_50%_50%,#00ff87,#60efff,#0061ff,#ff00d4,#00ff87)] [&::before]:animate-[aurora-spin_20s_linear_infinite] [&::before]:blur-3xl [&::before]:opacity-50","Creative, premium, SaaS, hero sections",Medium - animation,Yes
