No,Pattern Name,Keywords,Section Order,Primary CTA Placement,Color Strategy,Conversion Optimization
1,Hero-Centric Design,"hero, large hero, headline, above fold, visual",Hero > Features > Social Proof > CTA > Footer,Above fold (hero section),Brand primary + high contrast CTA,"Compelling headline (60-80 chars), product visual above fold, single clear CTA"
2,Conversion-Optimized,"form, conversion, lead, signup, trial, register",Hero > Benefits > Social Proof > Form > FAQ,Above fold (sticky form),High contrast CTA + urgency colors,"Single CTA focus, trust badges, urgency elements, minimal distractions"
3,Feature-Rich Showcase,"features, benefits, grid, showcase, demo",Hero > Features Grid > How It Works > Testimonials > Pricing > CTA,Repeated after features,Brand primary + feature card colors,"Feature cards with icons, comparison tables, interactive demos"
4,Minimal & Direct,"minimal, simple, clean, focused, essential",Hero > Single Feature > CTA > Footer,Above fold (hero),Minimal palette + single accent,"One message, one CTA, maximum white space, direct copy"
5,Social Proof-Focused,"testimonials, reviews, case studies, trust, social proof",Hero > Social Proof > Features > CTA > Testimonials,After social proof section,Trust colors + testimonial highlights,"Testimonials with photos, client logos, case study metrics, ratings"
6,Interactive Product Demo,"demo, interactive, walkthrough, preview, try",Hero > Interactive Demo > Features > CTA,Within demo section,Product-matching colors,"Embedded demo, step-by-step guide, hover-to-reveal, live preview"
7,Trust & Authority,"trust, authority, credibility, certifications, security",Hero > Trust Badges > Features > Case Studies > CTA,After trust section,Professional blue + trust colors,"Security badges, certifications, expert credentials, case study metrics"
8,Storytelling-Driven,"story, narrative, journey, brand, emotional",Hero > Story Chapter 1 > Chapter 2 > Chapter 3 > CTA,After story climax,Warm/emotional colors + brand,"Narrative flow, scroll-triggered reveals, emotional hooks, chapter structure"
9,Pricing-Focused,"pricing, plans, subscription, tiers, comparison",Hero > Pricing Table > Features > FAQ > CTA,Above pricing table,Brand primary + plan accent colors,"Clear pricing tiers, feature comparison, annual/monthly toggle, money-back guarantee"
10,Video-Centric,"video, motion, visual, cinematic, demo video",Hero (Video) > Key Features > Social Proof > CTA,Above fold (video),Dark overlay + brand accent,"Auto-play muted video, captions, poster image fallback, play button"
11,App Download,"app, mobile, download, ios, android, app store",Hero > App Preview > Features > Download CTA > Testimonials,Multiple (hero + after features),Brand primary + app store badges,"App store badges, QR code, phone mockup, feature highlights"
12,E-commerce Product,"product, shop, buy, store, ecommerce",Hero > Product Grid > Featured > Reviews > CTA,Within product cards,Brand primary + product colors,"Product images, quick view, add to cart, reviews, related products"
13,Waitlist/Coming Soon,"waitlist, coming soon, early access, launch, beta",Hero > Countdown > Benefits > Email Signup > Footer,Above fold (email form),Brand primary + excitement colors,"Countdown timer, email signup, referral program, social sharing"
14,Documentation/Docs,"docs, documentation, knowledge base, help, guide",Hero > Search > Categories > Popular > CTA,Search bar prominent,Clean neutral + code colors,"Search functionality, categorized content, code examples, quick links"
15,Portfolio/Case Study,"portfolio, case study, work, project, showcase",Hero > Project Grid > Case Study > About > Contact,Contact button,Brand primary + project colors,"Project galleries, before/after, process breakdown, results metrics"
16,Webinar/Event,"webinar, event, conference, live, registration",Hero (Event Details) > Speakers > Agenda > Register > FAQ,Above fold (register),Brand primary + event colors,"Event countdown, speaker profiles, agenda, registration form, social proof"
17,Non-Profit/Charity,"nonprofit, charity, donate, cause, impact",Hero > Impact Stats > Stories > Donate CTA > Footer,Sticky donate button,Warm/emotional colors + impact,"Impact statistics, stories, donation tiers, progress bars, trust signals"
18,Agency/Services,"agency, services, consulting, expertise, clients",Hero > Services > Portfolio > Testimonials > Contact,Contact CTA (hero + footer),Brand primary + service colors,"Service cards, portfolio showcase, client logos, team section"
19,Restaurant/Food,"restaurant, food, menu, order, dining, cuisine",Hero (Hero Image) > Menu > Reviews > Order CTA > Location,Order button (hero + sticky),Warm food colors + brand,"Menu with images, online ordering, reservation system, location map"
20,Real Estate,"property, real estate, home, house, apartment, listing, rent, buy",Hero (Search Bar) > Featured Listings > Search > About > Contact,Search functionality prominent,Trust blue + property colors,"Property search, image galleries, virtual tours, agent contact, mortgage calculator"
21,SaaS Pricing,"pricing, saas, subscription, plans, tiers, comparison",Hero > Pricing Table > Features > Testimonials > FAQ,Above pricing table,Brand primary + plan colors,"Clear pricing tiers, feature comparison, money-back guarantee, live chat support"
22,Product Launch,"launch, new product, announcement, reveal, debut",Hero (Video/Animation) > Features > Social Proof > CTA,Above fold (pre-order CTA),Brand primary + excitement colors,"Countdown timer, teaser video, early bird pricing, social proof, media mentions"
23,Freelancer/Personal,"freelancer, personal, hire, contact, portfolio, services",Hero > About > Services > Portfolio > Contact > Testimonials,Contact CTA (hero + footer),Brand primary + personal colors,"Personal photo, service packages, portfolio showcase, client testimonials, booking system"
24,Mobile App,"app, mobile, ios, android, download, features",Hero (Phone Mockup) > Features > Screenshots > Testimonials > Download CTA,Download buttons (hero + after features),Brand primary + app store colors,"Phone mockups, feature highlights, app store badges, QR code, user testimonials"
25,Webinar/Live Event,"webinar, live, event, stream, conference, workshop",Hero (Event Details) > Speakers > Agenda > Register > FAQ > Past Events,Register button (hero + sticky),Brand primary + event colors,"Event countdown, speaker profiles, agenda, registration form, social proof, past event recordings"
26,Restaurant/Bar,"restaurant, bar, food, menu, dining, reservation",Hero (Hero Image) > Menu > Gallery > Reviews > Reservation > Location,Reservation button (hero + sticky),Warm food colors + brand,"Menu with images, food gallery, online ordering, reservation system, location map, opening hours"
27,Gym/Fitness,"gym, fitness, workout, training, membership, classes",Hero (Hero Video/Image) > Classes > Trainers > Pricing > Testimonials > Join CTA,Join button (hero + after pricing),Dark + energetic colors,"Class schedules, trainer profiles, pricing tiers, before/after results, trial offer"
28,Educational Course,"course, education, learn, training, certification, skill",Hero > Course Overview > Curriculum > Instructor > Testimonials > Enroll CTA,Enroll button (hero + after curriculum),Brand primary + educational colors,"Course preview video, curriculum breakdown, instructor bio, student reviews, pricing tiers"
29,Non-Profit Donation,"charity, donate, cause, impact, volunteer, help",Hero (Impact Stats) > Stories > Impact Map > Donate CTA > Volunteer CTA > Footer,Donate button (sticky + hero + after stories),Warm/emotional colors,"Impact statistics, success stories, donation tiers, progress bars, volunteer signup, social proof"
30,SaaS Free Trial,"trial, free, saas, signup, demo, try",Hero > Features > Demo Video > Pricing > Testimonials > Free Trial CTA,Trial button (hero + after features),Brand primary + success green,"Free trial without credit card, feature comparison, demo video, social proof, limited time offer"
