No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Responsive,Mobile-First Approach,"Start with mobile layout and add complexity for larger screens","Write mobile styles first, use min-width breakpoints","Don't write desktop styles first then override for mobile",'.container { padding: 1rem; } @media (min-width: 768px) { .container { padding: 2rem; } }', '.container { padding: 2rem; } @media (max-width: 768px) { .container { padding: 1rem; } }',HIGH,https://tailwindcss.com/docs/responsive-design
2,Responsive,Responsive Typography,"Use clamp() for fluid typography that scales between breakpoints","Use text-[clamp(1rem,2.5vw,2rem)] for fluid sizing","Don't use fixed font sizes that jump at breakpoints",'<h1 class="text-[clamp(1.5rem,4vw,3rem)]">Title</h1>', '<h1 class="text-3xl md:text-5xl">Title</h1> /* jumps */',MEDIUM,https://tailwindcss.com/docs/font-size
3,Accessibility,Semantic HTML,"Use proper HTML5 semantic elements","Use <nav>, <main>, <article>, <section>, <aside>","Don't use divs for everything",'<nav><ul><li><a href="/">Home</a></li></ul></nav>', '<div class="nav"><div class="link">Home</div></div>',HIGH,https://tailwindcss.com/docs/optimizing-for-production
4,Accessibility,Focus Management,"Ensure visible focus states for keyboard navigation","Use focus:ring or focus:outline classes","Don't remove focus outlines without alternatives",'<button class="focus:ring-2 focus:ring-blue-500 focus:ring-offset-2">Click</button>', '<button class="outline-none">Click</button>',HIGH,https://tailwindcss.com/docs focus-visible
5,Accessibility,ARIA Labels,"Add ARIA labels to interactive elements without text","Use aria-label on icon buttons and custom components","Don't rely on visual-only labels",'<button aria-label="Close"><svg>...</svg></button>', '<button><svg>...</svg></button> /* no label */',HIGH,https://tailwindcss.com/docs
6,Performance,Utility-First,"Use Tailwind utilities directly in HTML","Compose utilities in markup, extract with @apply only when needed","Don't create custom CSS classes when utilities exist",'<button class="bg-blue-500 text-white px-4 py-2 rounded-lg hover:bg-blue-600 transition-colors">', '<button class="my-btn"> /* custom class for simple styling */',MEDIUM,https://tailwindcss.com/docs/utility-first
7,Performance,JIT Mode,"Use Just-In-Time mode for smaller CSS bundles","Enable JIT in Tailwind config for production","Don't use full Tailwind CSS in production",module.exports = { mode: 'jit', content: ['./src/**/*.{js,jsx}'] }', /* no JIT mode */',MEDIUM,https://tailwindcss.com/docs/optimizing-for-production
8,Performance,Purge Unused CSS,"Remove unused Tailwind classes from production CSS","Configure purge/content paths in tailwind.config.js","Don't ship unused CSS to production",content: ['./src/**/*.{js,jsx}', './pages/**/*.{js,jsx}'],', /* no purge config */',HIGH,https://tailwindcss.com/docs/optimizing-for-production
9,Components,Reusable Patterns,"Extract common patterns into reusable components","Create component files, use @apply for repeated patterns","Don't repeat the same utility combinations everywhere",'<Button variant="primary" size="lg">Click</Button>', '<button class="bg-blue-500 text-white px-4 py-2 rounded-lg"> /* repeated */',MEDIUM,https://tailwindcss.com/docs
10,Components,Variant System,"Use Tailwind's @apply with variant classes","Create components with variant props, use clsx for conditional classes","Don't hardcode every variant in every instance",function Button({ variant = 'primary' }) { const base = 'px-4 py-2 rounded-lg'; const variants = { primary: 'bg-blue-500 text-white', secondary: 'bg-gray-200 text-gray-800' }; return <button className={clsx(base, variants[variant])}>; }', '<button class="bg-blue-500 text-white px-4 py-2 rounded-lg"> ... <button class="bg-gray-200 text-gray-800 px-4 py-2 rounded-lg">',MEDIUM,https://tailwindcss.com/docs
11,Dark Mode,Dark Mode Support,"Use Tailwind's dark: modifier for dark mode","Add dark: variants to all color utilities","Don't create separate dark mode CSS files",'<div class="bg-white dark:bg-gray-900 text-gray-900 dark:text-white">', '<div class="bg-white"> /* no dark mode */',MEDIUM,https://tailwindcss.com/docs/dark-mode
12,Animations,Transitions,"Use Tailwind transition utilities for smooth state changes","Add transition-all or specific transition utilities","Don't change styles instantly without transitions",'<button class="bg-blue-500 hover:bg-blue-600 transition-colors duration-200">', '<button class="bg-blue-500 hover:bg-blue-600"> /* instant change */',MEDIUM,https://tailwindcss.com/docs/transition-duration
13,Layout,Container,"Use container class for consistent max-width","Apply container class with mx-auto for centering","Don't use arbitrary max-width values",'<div class="container mx-auto px-4">', '<div class="max-w-7xl mx-auto px-4"> /* duplicate with container */',LOW,https://tailwindcss.com/docs/container
14,Layout,Grid System,"Use CSS Grid with Tailwind's grid utilities","Apply grid grid-cols-{} gap-{} for layouts","Don't use flexbox for 2D layouts",'<div class="grid grid-cols-1 md:grid-cols-3 gap-6">', '<div class="flex flex-wrap gap-6"> /* for grid layout */',LOW,https://tailwindcss.com/docs/grid-template-columns
15,Forms,Form Styling,"Use Tailwind's form utilities for consistent inputs","Apply ring, border, focus:ring for form states","Don't use default browser form styles",'<input class="w-full px-3 py-2 border border-gray-300 rounded-lg focus:ring-2 focus:ring-blue-500 focus:border-blue-500">', '<input class="border"> /* default styles */',MEDIUM,https://tailwindcss.com/docs
16,Typography,Font Sizes,"Use Tailwind's text scale for consistent typography","Apply text-sm, text-base, text-lg etc for font sizes","Don't use arbitrary pixel values for font sizes",'<p class="text-base leading-relaxed">', '<p style="font-size: 16px;"> /* arbitrary */',LOW,https://tailwindcss.com/docs/font-size
17,Spacing,Consistent Spacing,"Use Tailwind's spacing scale consistently","Apply p-{}, m-{}, gap-{} from the spacing scale","Don't use arbitrary pixel values for spacing",'<div class="p-4 m-2 gap-4">', '<div style="padding: 16px; margin: 8px;"> /* arbitrary */',LOW,https://tailwindcss.com/docs/padding
18,Colors,Color System,"Use Tailwind's color palette consistently","Apply bg-{color}, text-{color}, border-{color}","Don't use hex values directly when Tailwind colors exist",'<button class="bg-blue-500 text-white">', '<button style="background-color: #3B82F6;"> /* hex */',LOW,https://tailwindcss.com/docs/customizing-colors
19,Icons,Icon Integration,"Use consistent icon library (Lucide, Heroicons)","Import specific icons, size with w-{} h-{}","Don't mix icon libraries or use emoji as icons",'<div class="w-5 h-5 text-gray-500"><IconComponent /></div>', '<span>🎯</span> /* emoji icon */',MEDIUM,https://lucide.dev/icons/
20,Performance,Content Purging,"Configure content paths for tree-shaking","Include all template files in content config","Don't forget to include dynamic class names",content: ['./src/**/*.{js,jsx,ts,tsx}', './app/**/*.{js,jsx,ts,tsx}'],', /* incomplete paths */',HIGH,https://tailwindcss.com/docs/optimizing-for-production
